stock,initial_state, initial_state_cv, terminal_state, terminal_state_cv
Scomber colias,0.75,0.1,0.43,0.31
Zygochlamys patagonica,0.75,0.1,0.3,0.31
Rajiformes,0.75,0.1,0.43,0.31
Elasmobranchii,0.75,0.1,0.55,0.31
Cynoscion guatucupa,0.75,0.1,0.54,0.31
Percophis brasiliensis,0.75,0.1,0.43,0.31
Pagrus pagrus,0.75,0.1,0.35,0.31
Brevoortia aurea,0.75,0.1,0.43,0.31
Pogonias cromis,0.75,0.1,0.43,0.31
Callorhinchus callorynchus,0.75,0.1,0.43,0.31
Galeorhinus galeus,0.75,0.1,0.35,0.31
Artemesia longinaris,0.75,0.1,0.43,0.31
